,year,locality,population
0,105,新北市,3979208.0
1,105,臺北市,2695704.0
2,105,桃園市,2147763.0
3,105,臺中市,2767239.0
4,105,臺南市,1886033.0
5,105,高雄市,2779371.0
6,105,宜蘭縣,457538.0
7,105,新竹縣,547481.0
8,105,苗栗縣,559189.0
9,105,彰化縣,1287146.0
10,105,南投縣,505163.0
11,105,雲林縣,694873.0
12,105,嘉義縣,515320.0
13,105,屏東縣,835792.0
14,105,臺東縣,220802.0
15,105,花蓮縣,330911.0
16,105,澎湖縣,103263.0
17,105,基隆市,372100.0
18,105,新竹市,437337.0
19,105,嘉義市,269874.0
20,105,金門縣,135114.0
21,105,連江縣,12595.0
22,104,新北市,3970644.0
23,104,臺北市,2704810.0
24,104,桃園市,2105780.0
25,104,臺中市,2744445.0
26,104,臺南市,1885541.0
27,104,高雄市,2778918.0
28,104,宜蘭縣,458117.0
29,104,新竹縣,542042.0
30,104,苗栗縣,563912.0
31,104,彰化縣,1289072.0
32,104,南投縣,509490.0
33,104,雲林縣,699633.0
34,104,嘉義縣,519839.0
35,104,屏東縣,841253.0
36,104,臺東縣,222452.0
37,104,花蓮縣,331945.0
38,104,澎湖縣,102304.0
39,104,基隆市,372105.0
40,104,新竹市,434060.0
41,104,嘉義市,270366.0
42,104,金門縣,132799.0
43,104,連江縣,12547.0
44,103,新北市,3966818.0
45,103,臺北市,2702315.0
46,103,桃園市,2058328.0
47,103,臺中市,2719835.0
48,103,臺南市,1884284.0
49,103,高雄市,2778992.0
50,103,宜蘭縣,458777.0
51,103,新竹縣,537630.0
52,103,苗栗縣,567132.0
53,103,彰化縣,1291474.0
54,103,南投縣,514315.0
55,103,雲林縣,705356.0
56,103,嘉義縣,524783.0
57,103,屏東縣,847917.0
58,103,臺東縣,224470.0
59,103,花蓮縣,333392.0
60,103,澎湖縣,101758.0
61,103,基隆市,373077.0
62,103,新竹市,431988.0
63,103,嘉義市,270883.0
64,103,金門縣,127723.0
65,103,連江縣,12506.0
66,102,新北市,3954929.0
67,102,臺北市,2686516.0
68,102,臺中市,2701661.0
69,102,臺南市,1883208.0
70,102,高雄市,2779877.0
71,102,宜蘭縣,458456.0
72,102,桃園縣,2044023.0
73,102,新竹縣,530486.0
74,102,苗栗縣,565554.0
75,102,彰化縣,1296013.0
76,102,南投縣,517222.0
77,102,雲林縣,707792.0
78,102,嘉義縣,529229.0
79,102,屏東縣,852286.0
80,102,臺東縣,224821.0
81,102,花蓮縣,333897.0
82,102,澎湖縣,100400.0
83,102,基隆市,374914.0
84,102,新竹市,428483.0
85,102,嘉義市,270872.0
86,102,金門縣,120713.0
87,102,連江縣,12165.0
88,101,新北市,3939305.0
89,101,臺北市,2673226.0
90,101,臺中市,2684893.0
91,101,臺南市,1881645.0
92,101,高雄市,2778659.0
93,101,宜蘭縣,458595.0
94,101,桃園縣,2030161.0
95,101,新竹縣,523993.0
96,101,苗栗縣,563976.0
97,101,彰化縣,1299868.0
