,year,location,total_house,total_house_male,total_house_female,total_people,total_people_male,total_people_female,class_1_house,class_1_house_male,class_1_house_female,class_1_people,class_1_people_male,class_1_people_female,class_2_house,class_2_house_male,class_2_house_female,class_2_people,class_2_people_male,class_2_people_female,class_3_house,class_3_house_male,class_3_house_female,class_3_people,class_3_people_male,class_3_people_female,rate_of_house,rate_of_people
0,2016,全國,143635.0,88041.0,55594.0,328336.0,172097.0,156239.0,3583.0,2678.0,905.0,3703.0,2743.0,960.0,33204.0,22002.0,11202.0,56594.0,32828.0,23766.0,106848.0,63361.0,43487.0,268039.0,136526.0,131513.0,1.68,1.4
1,2016,新 北 市,19698.0,11654.0,8044.0,46559.0,23987.0,22572.0,76.0,59.0,17.0,79.0,60.0,19.0,1333.0,878.0,455.0,2494.0,1388.0,1106.0,18289.0,10717.0,7572.0,43986.0,22539.0,21447.0,1.29,1.17
2,2016,臺 北 市,20667.0,11692.0,8975.0,47331.0,23865.0,23466.0,2061.0,1546.0,515.0,2138.0,1586.0,552.0,5218.0,3168.0,2050.0,8553.0,4762.0,3791.0,13388.0,6978.0,6410.0,36640.0,17517.0,19123.0,1.97,1.76
3,2016,桃 園 市,7482.0,4217.0,3265.0,19372.0,9791.0,9581.0,45.0,38.0,7.0,49.0,40.0,9.0,1052.0,672.0,380.0,2162.0,1228.0,934.0,6385.0,3507.0,2878.0,17161.0,8523.0,8638.0,0.98,0.91
4,2016,臺 中 市,17852.0,10057.0,7795.0,44006.0,22067.0,21939.0,476.0,347.0,129.0,494.0,360.0,134.0,5202.0,3188.0,2014.0,10292.0,5582.0,4710.0,12174.0,6522.0,5652.0,33220.0,16125.0,17095.0,1.9,1.59
5,2016,臺 南 市,10129.0,6636.0,3493.0,22096.0,11901.0,10195.0,382.0,258.0,124.0,391.0,262.0,129.0,3061.0,2139.0,922.0,4367.0,2758.0,1609.0,6686.0,4239.0,2447.0,17338.0,8881.0,8457.0,1.5,1.17
6,2016,高 雄 市,20781.0,12828.0,7953.0,49240.0,25401.0,23839.0,113.0,82.0,31.0,117.0,85.0,32.0,8074.0,5305.0,2769.0,13333.0,7666.0,5667.0,12594.0,7441.0,5153.0,35790.0,17650.0,18140.0,1.92,1.77
7,2016,宜蘭縣,2622.0,1648.0,974.0,4996.0,2757.0,2239.0,16.0,15.0,1.0,17.0,15.0,2.0,278.0,212.0,66.0,439.0,284.0,155.0,2328.0,1421.0,907.0,4540.0,2458.0,2082.0,1.58,1.09
8,2016,新竹縣,1809.0,1213.0,596.0,4475.0,2431.0,2044.0,19.0,18.0,1.0,19.0,18.0,1.0,229.0,181.0,48.0,402.0,251.0,151.0,1561.0,1014.0,547.0,4054.0,2162.0,1892.0,0.97,0.82
9,2016,苗栗縣,3022.0,1973.0,1049.0,6588.0,3615.0,2973.0,4.0,4.0,0.0,4.0,4.0,0.0,1274.0,915.0,359.0,2191.0,1344.0,847.0,1744.0,1054.0,690.0,4393.0,2267.0,2126.0,1.63,1.18
10,2016,彰化縣,6168.0,4005.0,2163.0,10858.0,6087.0,4771.0,2.0,2.0,0.0,2.0,2.0,0.0,69.0,45.0,24.0,127.0,75.0,52.0,6097.0,3958.0,2139.0,10729.0,6010.0,4719.0,1.61,0.84
11,2016,南投縣,3164.0,2123.0,1041.0,6473.0,3614.0,2859.0,13.0,10.0,3.0,14.0,11.0,3.0,308.0,214.0,94.0,631.0,361.0,270.0,2843.0,1899.0,944.0,5828.0,3242.0,2586.0,1.78,1.28
12,2016,雲林縣,5563.0,3946.0,1617.0,12349.0,6843.0,5506.0,0.0,0.0,0.0,0.0,0.0,0.0,2613.0,1900.0,713.0,4362.0,2672.0,1690.0,2950.0,2046.0,904.0,7987.0,4171.0,3816.0,2.33,1.77
13,2016,嘉義縣,2058.0,1494.0,564.0,4033.0,2387.0,1646.0,10.0,8.0,2.0,10.0,8.0,2.0,256.0,195.0,61.0,338.0,226.0,112.0,1792.0,1291.0,501.0,3685.0,2153.0,1532.0,1.13,0.78
14,2016,屏東縣,7944.0,5361.0,2583.0,16443.0,9412.0,7031.0,71.0,50.0,21.0,71.0,50.0,21.0,1043.0,782.0,261.0,1335.0,925.0,410.0,6830.0,4529.0,2301.0,15037.0,8437.0,6600.0,2.78,1.96
