,year,location,total_house,total_house_male,total_house_female,total_people,total_people_male,total_people_female,total_people_below12,total_people_below12_male,total_people_below12_female,total_people_between12_17,total_people_between12_17_male,total_people_between12_17_female,total_people_between18_64,total_people_between18_64_male,total_people_between18_64_female,total_people_over65,total_people_over65_male,total_people_over65_female
0,2017,全國,109023.0,65083.0,43940.0,328517.0,163696.0,164821.0,68174.0,35268.0,32906.0,58926.0,30112.0,28814.0,194476.0,94544.0,99932.0,6941.0,3772.0,3169.0
1,2017,新北市,9108.0,5023.0,4085.0,26197.0,12593.0,13604.0,4409.0,2257.0,2152.0,4401.0,2266.0,2135.0,16723.0,7692.0,9031.0,664.0,378.0,286.0
2,2017,臺北市,5803.0,2991.0,2812.0,14986.0,7246.0,7740.0,1986.0,1067.0,919.0,1593.0,839.0,754.0,10652.0,4966.0,5686.0,755.0,374.0,381.0
3,2017,桃園市,2282.0,1283.0,999.0,6951.0,3327.0,3624.0,1350.0,689.0,661.0,1260.0,631.0,629.0,4284.0,1968.0,2316.0,57.0,39.0,18.0
4,2017,臺中市,12026.0,6165.0,5861.0,34540.0,16563.0,17977.0,7655.0,3992.0,3663.0,5266.0,2717.0,2549.0,20784.0,9424.0,11360.0,835.0,430.0,405.0
5,2017,臺南市,8729.0,5412.0,3317.0,28557.0,14141.0,14416.0,5422.0,2766.0,2656.0,5310.0,2676.0,2634.0,17383.0,8463.0,8920.0,442.0,236.0,206.0
6,2017,高雄市,21638.0,13362.0,8276.0,70609.0,34578.0,36031.0,12964.0,6627.0,6337.0,11740.0,6053.0,5687.0,43877.0,20903.0,22974.0,2028.0,995.0,1033.0
7,2017,宜蘭縣,2005.0,1225.0,780.0,3916.0,1931.0,1985.0,1015.0,527.0,488.0,959.0,496.0,463.0,1844.0,851.0,993.0,98.0,57.0,41.0
8,2017,新竹縣,850.0,454.0,396.0,2745.0,1326.0,1419.0,522.0,267.0,255.0,544.0,271.0,273.0,1603.0,732.0,871.0,76.0,56.0,20.0
9,2017,苗栗縣,1166.0,630.0,536.0,3712.0,1805.0,1907.0,702.0,375.0,327.0,778.0,404.0,374.0,2118.0,964.0,1154.0,114.0,62.0,52.0
10,2017,彰化縣,15317.0,10096.0,5221.0,47737.0,24312.0,23425.0,11419.0,5949.0,5470.0,8328.0,4241.0,4087.0,27445.0,13765.0,13680.0,545.0,357.0,188.0
11,2017,南投縣,4755.0,2837.0,1918.0,15905.0,7880.0,8025.0,3414.0,1744.0,1670.0,3281.0,1634.0,1647.0,8966.0,4352.0,4614.0,244.0,150.0,94.0
12,2017,雲林縣,1863.0,1272.0,591.0,6053.0,3033.0,3020.0,1111.0,579.0,532.0,1191.0,611.0,580.0,3582.0,1749.0,1833.0,169.0,94.0,75.0
13,2017,嘉義縣,3098.0,2189.0,909.0,9793.0,5178.0,4615.0,2249.0,1153.0,1096.0,2399.0,1147.0,1252.0,5093.0,2844.0,2249.0,52.0,34.0,18.0
14,2017,屏東縣,12950.0,7982.0,4968.0,35061.0,18899.0,16162.0,9423.0,4886.0,4537.0,7821.0,4041.0,3780.0,17489.0,9774.0,7715.0,328.0,198.0,130.0
15,2017,臺東縣,1998.0,1095.0,903.0,5829.0,3008.0,2821.0,1231.0,660.0,571.0,998.0,535.0,463.0,3459.0,1719.0,1740.0,141.0,94.0,47.0
16,2017,花蓮縣,1538.0,888.0,650.0,3790.0,2021.0,1769.0,986.0,513.0,473.0,824.0,443.0,381.0,1856.0,987.0,869.0,124.0,78.0,46.0
17,2017,澎湖縣,425.0,301.0,124.0,1327.0,676.0,651.0,256.0,140.0,116.0,280.0,145.0,135.0,772.0,380.0,392.0,19.0,11.0,8.0
18,2017,基隆市,1163.0,611.0,552.0,3885.0,1819.0,2066.0,655.0,320.0,335.0,572.0,285.0,287.0,2483.0,1128.0,1355.0,175.0,86.0,89.0
19,2017,新竹市,857.0,433.0,424.0,2571.0,1247.0,1324.0,537.0,289.0,248.0,470.0,237.0,233.0,1537.0,708.0,829.0,27.0,13.0,14.0
20,2017,嘉義市,1299.0,760.0,539.0,3913.0,1924.0,1989.0,770.0,419.0,351.0,821.0,400.0,421.0,2286.0,1084.0,1202.0,36.0,21.0,15.0
21,2017,金門縣,124.0,53.0,71.0,340.0,143.0,197.0,80.0,38.0,42.0,75.0,34.0,41.0,175.0,63.0,112.0,10.0,8.0,2.0
22,2017,連江縣,29.0,21.0,8.0,100.0,46.0,54.0,18.0,11.0,7.0,15.0,6.0,9.0,65.0,28.0,37.0,2.0,1.0,1.0
23,2016,全國,119081.0,71205.0,47876.0,358161.0,178516.0,179645.0,73213.0,37911.0,35302.0,62606.0,32012.0,30594.0,215223.0,104696.0,110527.0,7119.0,3897.0,3222.0
24,2016,新北市,10513.0,5789.0,4724.0,30136.0,14464.0,15672.0,5504.0,2849.0,2655.0,4933.0,2478.0,2455.0,18953.0,8705.0,10248.0,746.0,432.0,314.0
25,2016,臺北市,5705.0,2958.0,2747.0,14595.0,7012.0,7583.0,2084.0,1114.0,970.0,1521.0,806.0,715.0,10239.0,4727.0,5512.0,751.0,365.0,386.0
26,2016,桃園市,2111.0,1185.0,926.0,6411.0,3069.0,3342.0,1234.0,640.0,594.0,1193.0,592.0,601.0,3923.0,1794.0,2129.0,61.0,43.0,18.0
27,2016,臺中市,13416.0,6963.0,6453.0,38467.0,18443.0,20024.0,8361.0,4332.0,4029.0,5646.0,2892.0,2754.0,23536.0,10718.0,12818.0,924.0,501.0,423.0
28,2016,臺南市,9558.0,5923.0,3635.0,31281.0,15458.0,15823.0,5804.0,2970.0,2834.0,5643.0,2845.0,2798.0,19358.0,9391.0,9967.0,476.0,252.0,224.0
29,2016,高雄市,23896.0,14726.0,9170.0,76639.0,37582.0,39057.0,13968.0,7157.0,6811.0,12454.0,6434.0,6020.0,48359.0,23069.0,25290.0,1858.0,922.0,936.0
30,2016,宜蘭縣,2114.0,1260.0,854.0,4214.0,2069.0,2145.0,1101.0,569.0,532.0,1045.0,551.0,494.0,1976.0,897.0,1079.0,92.0,52.0,40.0
31,2016,新竹縣,897.0,488.0,409.0,2943.0,1393.0,1550.0,520.0,261.0,259.0,572.0,285.0,287.0,1765.0,793.0,972.0,86.0,54.0,32.0
32,2016,苗栗縣,1353.0,746.0,607.0,4241.0,2093.0,2148.0,730.0,386.0,344.0,804.0,427.0,377.0,2585.0,1206.0,1379.0,122.0,74.0,48.0
33,2016,彰化縣,16182.0,10662.0,5520.0,50992.0,25884.0,25108.0,11620.0,6024.0,5596.0,8581.0,4357.0,4224.0,30184.0,15125.0,15059.0,607.0,378.0,229.0
34,2016,南投縣,5347.0,3163.0,2184.0,18035.0,8993.0,9042.0,3700.0,1916.0,1784.0,3571.0,1803.0,1768.0,10476.0,5106.0,5370.0,288.0,168.0,120.0
