,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y,總計
1,89年 1月,南投縣,179,73,0,9,1,33,1,6,5,0,6,4,1,2,0,1,1,0,2,0,0,3,52,154,0,0,3,1,0,4,1,0,0,1,0,0,0,0,1,5,0,0,24,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,9,2,10,599
2,89年 2月,南投縣,133,51,0,9,0,24,3,2,1,0,2,0,0,0,0,1,2,0,1,0,2,2,48,143,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,23,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,20,493
3,89年 3月,南投縣,135,92,0,8,0,31,3,5,3,0,11,1,1,2,0,0,1,0,0,0,1,4,35,61,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,14,454
4,89年 4月,南投縣,173,87,1,7,0,29,1,2,3,0,7,0,0,2,0,1,3,0,1,0,0,4,44,68,0,0,5,0,0,3,3,0,1,1,0,0,0,0,2,1,0,0,26,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,8,493
5,89年 5月,南投縣,202,101,2,3,0,31,7,2,2,0,9,0,1,1,0,0,0,0,5,0,4,4,49,118,0,0,8,0,0,4,2,0,0,16,0,0,0,0,0,2,0,0,21,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,16,622
6,89年 6月,南投縣,145,75,1,2,2,35,2,4,1,1,4,0,0,3,0,2,0,0,3,0,1,3,40,114,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11,491
7,89年 7月,南投縣,202,88,2,2,0,30,1,7,2,0,5,4,2,3,0,1,1,0,3,0,1,2,40,72,0,0,7,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,539
8,89年 8月,南投縣,175,70,1,8,2,38,1,6,1,0,7,4,6,6,0,1,0,0,0,0,4,6,55,70,0,0,5,1,0,6,0,0,1,1,0,0,0,0,0,4,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,27,552
9,89年 9月,南投縣,163,58,0,7,0,36,8,2,1,0,4,2,2,0,0,0,0,0,2,0,3,2,34,82,0,0,1,3,0,2,5,0,0,0,0,0,0,0,0,3,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,18,469
10,89年 10月,南投縣,150,61,0,6,0,42,7,4,2,0,3,4,0,1,0,1,2,0,20,0,2,5,55,84,0,0,2,0,0,4,14,0,0,0,0,0,0,0,4,1,0,0,25,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,12,523
